Year,Port,County,KGS,Purchase Total
2019,Anderson Cove,Annapolis,,
2019,Battery Point,Annapolis,,
2019,Delaps Cove,Annapolis,,
2019,Hampton,Annapolis,,
2019,Margaretsville,Annapolis,,
2019,Parkers Cove,Annapolis,"247,863.5","4,581,824"
2019,Port Lorne,Annapolis,,
2019,Other,Annapolis,"78,589.38","3,819,912"
2019,Total for Annapolis County,Annapolis,"520,409.51","11,229,834"
2019,Arisaig,Antigonish,,
2019,Aulds Cove,Antigonish,,
2019,Ballantynes Cove,Antigonish,"259,406.1","2,837,113"
2019,Barrios Beach,Antigonish,,
2019,Bayfield,Antigonish,,
2019,Cribbons Point,Antigonish,"165,222.3","2,315,654"
2019,Havre Boucher,Antigonish,"287,677.6","4,282,349"
2019,Livingstone,Antigonish,,
2019,Other,Antigonish,,
2019,Total for Antigonish County,Antigonish,"1,150,533.47","15,487,723"
2019,Alder Point,Cape Breton,"730,654.4","11,168,036"
2019,Crane Cove,Cape Breton,,
2019,Gabarus,Cape Breton,"144,714.4","2,261,160"
2019,Glace Bay,Cape Breton,"5,525,967","28,123,634"
2019,Lingan,Cape Breton,"178,108.3","2,708,295"
2019,Louisbourg,Cape Breton,"3,950,889","41,656,157"
2019,Main-A-Dieu,Cape Breton,"917,010.6","14,006,517"
2019,Marion Bridge,Cape Breton,,
2019,New Waterford,Cape Breton,,
2019,North Sydney - Ballast Grounds,Cape Breton,"785,816.2","7,712,457"
2019,North Sydney - Marina Breakwater,Cape Breton,,
2019,Oyster Creek,Cape Breton,,
2019,Point Aconi,Cape Breton,,
2019,Port Morien,Cape Breton,"1,079,656","16,577,134"
2019,South Bar,Cape Breton,,
2019,Three Stick Cove,Cape Breton,,
2019,Victoria Bridge,Cape Breton,,
2019,Other,Cape Breton,"1,442,221","9,521,314"
2019,Total for Cape Breton County,Cape Breton,"15,126,324.01","137,305,007"
2019,Barrachois,Colchester,,
2019,Five Islands,Colchester,,
2019,Other,Colchester,"13,656.36","215,208"
2019,Total for Colchester County,Colchester,"205,220.76","777,909"
2019,Advocate Harbour,Cumberland,"165,057.8","3,014,812"
2019,Apple River,Cumberland,,
2019,Malagash,Cumberland,,
2019,Northport,Cumberland,,
2019,Pugwash,Cumberland,"256,546.2","3,038,617"
2019,Wallace,Cumberland,"337,181.3","3,455,181"
2019,Other,Cumberland,,
2019,Total for Cumberland County,Cumberland,"876,354.84","12,030,086"
2019,Cape St. Marys,Digby,"294,852","5,468,734"
2019,Centerville,Digby,"110,009.2","2,035,518"
2019,Culloden,Digby,,
2019,Digby,Digby,"5,124,600","65,478,911"
2019,East Ferry,Digby,,
2019,Freeport (Fish Point Wharf),Digby,,
2019,Freeport  (South Cove),Digby,"171,261.7","3,173,046"
2019,Gilberts Cove,Digby,,
2019,Little River,Digby,"982,561.9","127,620,006"
2019,Meteghan,Digby,"3,601,520","23,991,495"
2019,Meteghan River,Digby,"576,285.5","11,680,415"
2019,Rossway,Digby,,
2019,Sandy Cove East,Digby,"153,800.6","2,789,673"
2019,Saulnierville,Digby,"573,644.6","6,577,045"
2019,Tiverton,Digby,"183,648.1","3,433,149"
2019,Westport,Digby,"587,399.4","9,338,028"
2019,Weymputh North,Digby,"93,872.23","202,156"
2019,Whale Cove,Digby,,
2019,Other,Digby,"111,995.8","630,735"
2019,Total for Digby County,Digby,"12,662,789.17","264,083,830"
2019,Canso,Guysborough,"2,156,123","21,104,298"
2019,Charlos Cove,Guysborough,,
2019,Cooks Cove,Guysborough,,
2019,Dover,Guysborough,,
2019,Drum Head,Guysborough,,
2019,Ecum Secum,Guysborough,,
2019,Fishermans Harbour,Guysborough,,
2019,Goldboro,Guysborough,,
2019,Half Island Cove,Guysborough,,
2019,Larrys River,Guysborough,,
2019,Little Harbour,Guysborough,,
2019,Little Liscomb,Guysborough,,
2019,Marie Joseph,Guysborough,"327,309.7","4,227,250"
2019,New Harbour,Guysborough,,
2019,Pirate Harbour,Guysborough,,
2019,Port Brickerton East,Guysborough,,
2019,Port Brickerton West,Guysborough,,
2019,Port Felix,Guysborough,,
2019,Queensport,Guysborough,,
2019,Sonora,Guysborough,,
2019,Upper Whitehead,Guysborough,,
2019,Wine Harbour,Guysborough,,
2019,Other,Guysborough,"127,993.2","6,882,382"
2019,Total for Guysborough County,Guysborough,"5,995,108.22","66,142,449"
2019,Boutiliers Point,Halifax,,
2019,Carters Point,Halifax,,
2019,Coopers Point,Halifax,,
2019,East Chezzetcook,Halifax,,
2019,East Dover,Halifax,,
2019,East Jeddor,Halifax,"2,164,024","9,421,543"
2019,East Petpeswick,Halifax,,
