COUNTIES,AQUACULTURE LICENCES,FISH PROCESSORS,FISH BUYERS (all species),LOBSTER BUYERS ONLY,SNOW CRAB BUYERS ONLY,GROUNDFISH BUYERS ONLY
ANNAPOLIS,6,9,7,5,3,4
ANTIGONISH,6,2,2,2,1,1
CAPE BRETON,8,10,19,19,12,7
COLCHESTER,10,2,3,1,0,0
CUMBERLAND,10,5,5,4,1,1
DIGBY,16,31,39,34,19,21
GUYSBOROUGH,20,9,6,5,5,3
HALIFAX,11,17,26,20,14,13
HANTS,1,0,1,1,1,1
INVERNESS,27,4,7,6,5,5
KINGS,2,0,4,4,1,0
LUNENBURG,14,9,14,10,8,6
PICTOU,27,5,10,7,5,3
QUEENS,3,3,3,2,2,3
RICHMOND,22,6,4,3,3,1
SHELBURNE,11,58,73,72,30,38
VICTORIA,20,2,4,3,2,1
YARMOUTH,16,39,69,57,26,27
OUT OF PROVINCE,0,0,6,2,0,1
