COUNTY,LICENSED VENDOR,LICENSE TYPE,MAILING ADDRESS,CONTACT
Annapolis,A. W. ALLEN & SON LIMITED,Fishing,"166 COMMERCIAL ST, MIDDLETON, NS, B0S1P0",(902) 825-4854
Annapolis,BRIDGETOWN HOME HARDWARE,Fishing,"22 QUEEN STREET, BRIDGETOWN, NS, B0S1C0",(902) 665-4359
Annapolis,FUNDY SPRAY MOTEL LIMITED,Fishing,"443 MAIN STREET, MIDDLETON, NS, B0S1P0",(902) 825-3424
Annapolis,LAURA FOWLER ENTERPRISES LIMITED,Fishing,"800 MAIN STREET, KINGSTON, NS, B0P1R0",(902) 765-2055
Annapolis,LEQUILLE COUNTRY STORE LIMITED ,Fishing,"9543 HIGHWAY 8, LEQUILLE, ANNAPOLIS VALLEY, NS, B0S1A0",(902) 532-5362
Annapolis,MID-VALLEY HARDWARE LIMITED,Fishing,"963 CENTRAL AVENUE, UNIT 35, BOX 1150 GREENWOOD, NS, B0P1N0",(902) 825-3444
Annapolis,MILFORD HOUSE PROPERTIES LIMITED,Fishing,"5296 HIGHWAY 8, SOUTH MILFORD, NS, B0S1A0",(902) 532-2617
Annapolis,NEEDS FAST FUEL,Fishing,"2257 GLEBE ROAD, KINGSTON, NS, B0P1R0",(902) 825-2225
Annapolis,R. C. LAWRIE ENTERPRISES LIMITED,Fishing,"195 ST. ANTHONY STREET, ANNAPOLIS ROYAL, NS, B0S1A0",(902) 532-7080
Annapolis,TAMMY'S COUNTRY STOP (CONVENIENCE STORE) ,Fishing,"997 HWY 10, SPRINGFIELD, NS, B0R1H0",(902) 547-2929
Antigonish,ALLEN MACDONALD'S CONVENIENCE STORE ,Fishing,"3899 HIGHWAY 316, ST ANDREWS, NS, B0H1X0",(902) 863-2426
Antigonish,BRENDAN'S FAIRWAY LIMITED,Fishing,"201 HAWTHORNE ST, ANTIGONISH, NS, B2G1B6",(902) 863-5583
Antigonish,BROSHA'S SHORT STOPPE,Fishing,"4798 TRANS CANADA HWY, LR SOUTH RIVER, NS, B2G2L4",(902) 863-3079
Antigonish,GARY BROW'S ENTERPRISES LIMITED,Fishing,"12557 HIGHWAY #4, HAVRE BOUCHER, NS, B0H1P0",(902) 234-3473
Antigonish,GORD MACDONALD SALES INC.,Fishing,"130 RESERVE STREET, GLACE BAY, NS, B1A4W5",(902) 863-4753
Antigonish,LEAVES AND LIMBS SPORTS,Fishing,"4167 HIGHWAY 104, SOUTH RIVER ANTIGONISH, NS, B2G2L4",(902) 735-3800
Antigonish,MONASTERY PC LIMITED,Fishing,"13036 TRANS CANADA, HIGHWAY 104, AULDS COVE, NS, B0H1P0",(902) 234-2219
Antigonish,WAL-MART CANADA CORP.,Fishing,"1940 ARGENTIA RD, MISSISSAUGA, ON, L5N1P9",(902) 867-1279
Cape Breton,1983282 NOVA SCOTIA LIMITED,Fishing,"967-01 MCLEOD, JOHN ARTHUR, 151 UNION ST, GLACE BAY, NS, B1A2B9",(902) 849-9300
Cape Breton,AL'S DAIRY,Fishing,"611-01 POIRIER, ALBERT, 89 COMMERCIAL STREET, DOMINION, NS, B1G1B3",(902) 849-1135
Cape Breton,B P'S VARIETY,Fishing,"799 NEVILLE STREET, RESERVE MINES, NS, B1E1G7",(902) 849-1427
Cape Breton,BRAS D'OR AUTO BODY RECREATION & MARINE,Fishing,"1918-01 KING, CHRIS, 201 VILLA DRIVE, LITTLE BRAS D`OR, NS, B1Y2Y8",(902) 736-0849
Cape Breton,BRAS D'OR LAKE OUTFITTERS,Fishing,"3499 LONG ISLAND ROAD, BARRACHOIS HBR., NS, B1Y3N1",(902) 871-2549
Cape Breton,BREWER'S CONVENIENCE,Fishing,"260 COMMERCIAL ST, NORTH SYDNEY, NS, B2A1B8",(902) 794-2304
Cape Breton,CABOT TRAIL FOOD MARKET LIMITED,Fishing,"2007-01 DIXON, OMAR, 29352 CABOT TRAIL, DINGWALL, NS, B0C1G0",(902) 383-2677
Cape Breton,CADDEN'S TOWING & AUTO BODY LIMITED,Fishing,"3382 VENIOT ST., NEW WATERFORD, NS, B1H2R6",(902) 862-3308
Cape Breton,CANADIAN TIRE GLACE BAY,Fishing,"130 RESERVE STREET, GLACE BAY, NS, B1A4W5",(902) 843-0700
Cape Breton,CATALONE CONVENIENCE,Fishing,"5790 LOUISBOURG HWY, CATALONE, NS, B1C2G5",(902) 733-2497
Cape Breton,CHURCO ENTERPRISES LIMITED,Fishing,"568-01 CHURCH, JOHN, 3966 GABARUS HWY, MARION BRIDGE, NS, B1K1A7",(902) 727-2685
Cape Breton,EMPIRE SHOE REPAIR & LEATHER WORKS,Fishing,"634 KELTIC DR, SYDNEY, NS, B1L1B6",(902) 564-8450
